,track_id,danceability,energy,key,loudness,mode,valence,tempo,time_signature,era,era_encode
4061,6Rxl7n9JqrAkkbVvVCFGVM,0.365,0.233,9.0,-15.533,1.0,0.228,78.315,3.0,baroque,0.0
4062,78tt6cmQkdPYR7N6LEjL9i,0.336,0.0916,7.0,-19.265,0.0,0.171,124.155,4.0,baroque,0.0
4063,4U6AVeEJr90mydmr5PXnKu,0.297,0.0677,0.0,-20.641,0.0,0.124,124.828,4.0,baroque,0.0
4064,2rFm0w1mslKdZfbQMeX56L,0.422,0.296,0.0,-14.129,0.0,0.297,134.257,3.0,baroque,0.0
4065,19Byfk0ItGq7EUrA6sHVuV,0.348,0.0374,7.0,-23.899,0.0,0.0397,102.034,3.0,baroque,0.0
4066,2hMwjGGij5q1oA8UDZeLaF,0.188,0.0623,7.0,-22.178,0.0,0.11,75.35,3.0,baroque,0.0
4067,5io348iRVvuiQCOFUPF5du,0.571,0.254,0.0,-15.624,0.0,0.664,131.902,4.0,baroque,0.0
4068,45qPqjp6R4LTinhmErWjGL,0.212,0.0562,4.0,-22.613,1.0,0.135,69.593,3.0,baroque,0.0
4069,4b4XYS7E67UWKk6mB2XN3v,0.359,0.0337,9.0,-22.873,1.0,0.178,99.962,5.0,baroque,0.0
4070,2QTi6EP4nUDzihvbOlJ4e7,0.52,0.121,9.0,-18.357,1.0,0.54,128.582,4.0,baroque,0.0
4071,02y0eL33hM36tdchCPlwyi,0.554,0.211,4.0,-16.355,1.0,0.413,126.198,4.0,baroque,0.0
4072,3GUpyZ9DAF59KgCV0UU1WE,0.424,0.226,7.0,-16.772,1.0,0.188,127.512,4.0,baroque,0.0
4073,2Igq4W21EUd8Dv5FEjoC0m,0.482,0.0322,9.0,-22.717,0.0,0.128,112.327,3.0,baroque,0.0
4074,7ytEGxXoAdbiPSqo8jonRP,0.271,0.0562,9.0,-22.066,0.0,0.116,91.979,4.0,baroque,0.0
4075,6qI9M2zvJE9SwCvJf2BfBd,0.514,0.181,7.0,-17.593,1.0,0.469,132.019,4.0,baroque,0.0
4076,5NxHXdhUFcKIf7opX1kegG,0.481,0.206,5.0,-18.464,1.0,0.329,88.07,4.0,baroque,0.0
4077,5kderf1DrdJKriiUYrZyWa,0.377,0.0271,2.0,-23.874,0.0,0.0687,85.821,4.0,baroque,0.0
4078,06udOmSYAyezeGJUElTww7,0.191,0.0609,10.0,-22.138,1.0,0.092,79.792,4.0,baroque,0.0
4079,5cnkOfJP0TaxZQQzl6atrO,0.404,0.211,5.0,-17.933,1.0,0.319,92.401,4.0,baroque,0.0
4080,2npgmPfyxbdbkjeF8iY0uu,0.351,0.127,5.0,-21.068,1.0,0.396,123.464,4.0,baroque,0.0
4081,53swytJHcl9js4fiApTAHG,0.279,0.0266,5.0,-27.686,0.0,0.0936,131.632,4.0,baroque,0.0
4082,13MGm3WP0IW3RM7wkBUyl1,0.604,0.394,0.0,-19.574,1.0,0.965,104.078,4.0,baroque,0.0
4083,0AHf8KmBezTSubcIyE4SD8,0.277,0.0739,4.0,-21.609,1.0,0.0941,108.557,4.0,baroque,0.0
4084,1oAPGz2BK1hcxoDSGwS1HU,0.328,0.167,3.0,-14.793,1.0,0.102,98.831,4.0,baroque,0.0
4085,4pxvHXHkQaNBWuSXCIQ8fc,0.54,0.209,9.0,-18.767,0.0,0.562,119.524,3.0,baroque,0.0
4086,68mL4U8FAexsNZGWjuG1LV,0.195,0.018,10.0,-28.682,1.0,0.157,167.835,4.0,baroque,0.0
4087,0khm94hs0yaJ4EosWTei2U,0.268,0.0575,7.0,-26.787,1.0,0.365,116.681,4.0,baroque,0.0
4088,69IPLDCXJ6QyjSOJIumxVp,0.158,0.0424,1.0,-24.482,1.0,0.0371,90.143,4.0,baroque,0.0
4089,1fCvd5kcXCWSp9FpUUwmpl,0.229,0.129,6.0,-18.17,0.0,0.0443,89.683,3.0,baroque,0.0
4090,7Cdsl2OAKklWPy3VTMzaCw,0.266,0.1,2.0,-19.232,1.0,0.0371,53.05,4.0,baroque,0.0
4091,3m0wtDA2rpkmDLlUdc7K24,0.704,0.237,7.0,-19.842,0.0,0.807,116.082,4.0,baroque,0.0
4092,7iNc1XLvoxSDSyXCXsljGh,0.276,0.0108,5.0,-20.389,0.0,0.157,167.598,3.0,baroque,0.0
4093,788uSBKV3LEhAYk6VvgnSe,0.453,0.344,7.0,-14.069,0.0,0.547,96.7,4.0,baroque,0.0
4094,39vOIyImuiMBNagQDxLdlH,0.573,0.349,9.0,-15.493,0.0,0.828,135.07,4.0,baroque,0.0
4095,0Vp5gixHD8E7ZSZ4WHiSA0,0.525,0.2,6.0,-18.487,0.0,0.633,127.172,4.0,baroque,0.0
4096,2MBYGySp6fCVz5gy295Vr5,0.421,0.233,1.0,-18.662,1.0,0.483,142.891,3.0,baroque,0.0
4097,0mKsTDijdxo9d3scSaMRGH,0.478,0.0601,10.0,-24.154,0.0,0.559,97.488,1.0,baroque,0.0
4098,7AJYd5VCXacjHmbV3ejYLS,0.584,0.208,11.0,-22.517,1.0,0.962,124.88,4.0,baroque,0.0
4099,11b1ATXCrxn81e4eSxUtqr,0.175,0.0906,10.0,-21.442,0.0,0.0875,79.704,4.0,baroque,0.0
4100,1ChIVecmHWJv2irP9gLSMf,0.297,0.0337,2.0,-24.489,1.0,0.282,72.148,4.0,baroque,0.0
4101,5jqaoMOgxDLmmMz1CfgNWn,0.527,0.163,11.0,-17.898,0.0,0.716,73.016,4.0,baroque,0.0
4102,2XdxjXXtmDmNCUAB7ND1Zb,0.537,0.238,7.0,-15.231,1.0,0.734,135.289,4.0,baroque,0.0
4103,3KwqGTpK4I3b806mfO4Vac,0.488,0.227,4.0,-17.377,1.0,0.615,110.448,4.0,baroque,0.0
4104,6JR3IRCzMyCW6zMTutYmgV,0.406,0.0142,0.0,-28.451,0.0,0.166,94.983,4.0,baroque,0.0
4105,1ZlGMmM9vHWBjvCvoFZf4Y,0.399,0.231,6.0,-16.328,0.0,0.458,124.165,4.0,baroque,0.0
4106,7puMVybG4ojG2wZujAQhaA,0.218,0.0186,7.0,-30.117,1.0,0.0845,108.945,4.0,baroque,0.0
4107,7jIE28gnIHd52USMPxrAMw,0.504,0.0748,7.0,-21.194,1.0,0.528,132.305,4.0,baroque,0.0
4108,4HklvAfG1nxLINWS9MAQp8,0.433,0.24,1.0,-16.678,1.0,0.695,145.31,3.0,baroque,0.0
4109,0GRBHIkb1mm9USNYac4C1i,0.264,0.0979,6.0,-20.105,0.0,0.143,82.066,4.0,baroque,0.0
4110,6N1UoK0YHR1HrS9vCZ77Oh,0.0806,0.00268,8.0,-40.643,1.0,0.0315,170.001,4.0,baroque,0.0
4111,1xk8mjnc2H0mf7Af4YYvk5,0.211,0.132,9.0,-25.02,1.0,0.0325,112.46,4.0,baroque,0.0
